Data,Instituição,Valor
01/01/2024,Nubank,5000.00
01/02/2024,Nubank,5200.00
01/03/2024,Nubank,5400.00
01/04/2024,Nubank,5600.00
01/05/2024,Nubank,5800.00
01/06/2024,Nubank,6000.00
01/07/2024,Nubank,6200.00
01/08/2024,Nubank,6400.00
01/09/2024,Nubank,6600.00
01/10/2024,Nubank,6800.00
01/11/2024,Nubank,7000.00
01/12/2024,Nubank,7200.00
01/01/2024,Banco Inter,3000.00
01/02/2024,Banco Inter,3150.00
01/03/2024,Banco Inter,3300.00
01/04/2024,Banco Inter,3450.00
01/05/2024,Banco Inter,3600.00
01/06/2024,Banco Inter,3750.00
01/07/2024,Banco Inter,3900.00
01/08/2024,Banco Inter,4050.00
01/09/2024,Banco Inter,4200.00
01/10/2024,Banco Inter,4350.00
01/11/2024,Banco Inter,4500.00
01/12/2024,Banco Inter,4650.00
01/01/2024,XP Investimentos,2000.00
01/02/2024,XP Investimentos,2100.00
01/03/2024,XP Investimentos,2200.00
01/04/2024,XP Investimentos,2300.00
01/05/2024,XP Investimentos,2400.00
01/06/2024,XP Investimentos,2500.00
01/07/2024,XP Investimentos,2600.00
01/08/2024,XP Investimentos,2700.00
01/09/2024,XP Investimentos,2800.00
01/10/2024,XP Investimentos,2900.00
01/11/2024,XP Investimentos,3000.00
01/12/2024,XP Investimentos,3100.00
